Company_Phone_Number,Count
8885315815,99
8666599372,65
8506888984,64
3109286478,64
8885315941,58
8883821222,52
8646629282,52
8779417579,51
8885316256,51
6789419950,46
3258290299,45
5168040314,45
5136961920,43
3234877932,43
8642237147,43
2132815089,40
8002662268,39
9726668263,39
2407076447,38
8777892072,34
8443168434,34
8884970777,33
8779419967,31
8775569255,31
2132815091,30
8885315541,28
8639467385,28
8779411396,28
7207158384,28
2025399268,27
8554038652,27
8009850671,27
9852478450,27
8332489323,27
4234633294,26
7144393973,26
8662684346,26
8448398816,25
8007332767,25
8382313459,24
8333660127,23
7143293397,23
2063951342,23
2394677934,22
8056377243,22
4174199734,22
9546212517,21
9102484214,21
2282035799,21
5513307561,20
2069220880,20
6692000417,20
2055020352,20
8882337021,20
8664823084,20
5618969817,19
6892627779,19
8009423767,19
8565997262,19
9786220589,19
7252230172,19
2392513479,18
6509005369,18
1111111111,18
8443064159,18
2314314962,17
8444742375,17
3123194430,17
7148056336,17
5714967202,17
8885315534,17
8162072984,17
8663767601,17
3127488553,17
2394675963,17
8553081886,17
6466044668,17
7327769777,17
9733211432,16
8629041042,16
9093784267,16
7035707479,16
4472531911,16
2677031326,16
6095880091,16
9514009183,16
3183763078,16
8886116904,16
6083716666,16
9493406120,15
3155627598,15
3237635692,15
8555227663,15
5189420923,15
2527572141,15
8003916182,15
5172084727,15
8382211536,15
2063951516,15
8886072664,15
6156981110,15
8887051654,15
5623644307,15
8666808628,15
8333901996,14
8664084070,14
7706371107,14
8604549443,14
5186203601,14
8035752617,14
8883552586,14
4122397717,14
3024463512,14
8665642262,14
3125511542,14
2108666002,14
2252330016,14
9513631676,14
4472531908,14
8186991322,14
8474495814,14
9088290335,14
8883552291,14
5623644311,14
8392201115,14
3053175818,13
6262631778,13
9542830864,13
2095998703,13
3022315757,13
5206528173,13
4079466142,13
8057040779,13
8007231032,13
8885315574,13
8882813129,13
9082918391,13
2312511147,13
8884315114,13
6512352775,13
3127488499,13
8557077328,13
8009556600,13
9498502058,13
8158883240,12
2253276815,12
8184912519,12
4437146923,12
8472005838,12
7073357998,12
8442606539,12
8665197641,12
6096042737,12
8449597712,12
7144522812,12
2255321427,12
5302760121,12
2566734795,12
5752494350,12
8888922253,12
2068879804,12
4255473919,12
3155627603,12
2569994448,12
4437146779,12
6818332744,12
6028033737,12
5172084674,12
4708223389,12
3025058977,12
8665211540,12
9542129585,12
2253304597,12
8002662278,12
8478505127,12
9708328603,11
7712132748,11
8336020603,11
8005614567,11
6504147199,11
5392432871,11
3127488592,11
4079466250,11
7084332252,11
2623189841,11
5185131755,11
5042178612,11
9498185252,11
8004321000,11
8442606537,11
4423098239,11
7144512360,11
8338950348,11
8885315527,11
2312511153,11
5746355290,11
9135351000,11
2244859053,11
9735068942,11
2763058176,11
2058500673,11
8004049826,11
8447089406,11
8442606538,11
2155896921,11
6015166128,11
4582143369,11
8884305914,11
8008397416,11
7144522963,11
8103706016,11
4137327111,11
5742407657,11
3155457102,11
8302051951,10
8662691726,10
5138312600,10
8633102161,10
7136965500,10
3179095492,10
2513375720,10
2692336351,10
5862716905,10
7065143365,10
8006271406,10
6502530000,10
9713469280,10
6155696466,10
7577804614,10
2252096157,10
5705456445,10
3155627618,10
8479440789,10
4342185692,10
4134280268,10
6364866496,10
8145272209,10
2167100047,10
8663918801,10
3029273338,10
7192984805,10
3155666834,10
8032479190,10
7818961815,10
8006182247,10
6162026764,10
7042696495,10
8554207900,10
4107296814,10
7577804615,10
8663932109,10
2097069901,10
7163145180,10
4075933736,10
0000000000,10
2762923412,10
2485362025,10
8382017680,10
2019089391,10
8322951738,10
7187014855,10
2609941531,10
8664089541,10
5172084726,10
8474495452,10
4072411009,10
2254503359,10
6305068825,10
9047998048,10
2133549158,10
6025988606,10
3214624881,10
2819094127,10
4048064811,10
9186755603,10
7343071310,10
5392244791,10
2254251183,10
2097031795,10
7712132747,9
6317079660,9
8663201077,9
6307657057,9
8885315012,9
8472578336,9
2314437619,9
8008232318,9
8602153963,9
8332489322,9
2677031377,9
7082276486,9
7194655636,9
2677031275,9
3162341262,9
3155453347,9
8776137414,9
5038438353,9
3252447821,9
2143960980,9
5802050006,9
8006359754,9
4587579942,9
8187405077,9
2082714974,9
4079466140,9
